"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","5387","","","","0"
"2007/2008","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","5592","","","","0"
"2008/2009","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","5737","","","","0"
"2009/2010","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","4860","","","","0"
"2010/2011","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","5401","","","","0"
"2011/2012","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","5450","","","","0"
"2012/2013","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","5916","","","","0"
"2013/2014","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","6038","","","","0"
"2014/2015","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","6295","","","","0"
"2015/2016","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","6537","","","","0"
"2016/2017","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","6784","","","","0"
"2017/2018","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","6920","","","","0"
"2018/2019","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","7388","","","","0"
"2019/2020","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","7186","","","","0"
"2020/2021","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","7361","","","","0"
"2021/2022","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","7315","","","","0"
"2022/2023","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","7409","","","","0"
"2023/2024","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414724","1.21","7573","","","","0"
"2006/2007","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","4627","","","","0"
"2007/2008","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","4353","","","","0"
"2008/2009","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","4697","","","","0"
"2009/2010","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","4410","","","","0"
"2010/2011","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","4981","","","","0"
"2011/2012","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","5089","","","","0"
"2012/2013","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","5462","","","","0"
"2013/2014","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","5536","","","","0"
"2014/2015","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","5674","","","","0"
"2015/2016","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","5697","","","","0"
"2016/2017","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","5866","","","","0"
"2017/2018","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","6050","","","","0"
"2018/2019","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","6546","","","","0"
"2019/2020","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","6423","","","","0"
"2020/2021","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","6523","","","","0"
"2021/2022","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","6640","","","","0"
"2022/2023","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","6844","","","","0"
"2023/2024","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427282","1.1","6957","","","","0"
"2006/2007","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","3679","","","","0"
"2007/2008","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427293","1.2","3759","","","","0"
