"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2006/2007","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","11093","","","","0"
"2007/2008","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","12560","","","","0"
"2008/2009","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","12337","","","","0"
"2009/2010","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","11678","","","","0"
"2010/2011","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","12666","","","","0"
"2011/2012","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","12835","","","","0"
"2012/2013","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","13159","","","","0"
"2013/2014","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","13490","","","","0"
"2014/2015","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","13909","","","","0"
"2015/2016","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","14520","","","","0"
"2016/2017","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","15422","","","","0"
"2017/2018","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","16326","","","","0"
"2018/2019","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","16995","","","","0"
"2019/2020","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","17934","","","","0"
"2020/2021","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","19429","","","","0"
"2021/2022","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","20246","","","","0"
"2022/2023","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","21155","","","","0"
"2023/2024","Canada","2016A000011124","Total, field of study","Current dollars","75","units","0","v1001414735","1.21","22061","","","","0"
"2006/2007","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","9051","","","","0"
"2007/2008","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","8674","","","","0"
"2008/2009","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","9107","","","","0"
"2009/2010","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","9241","","","","0"
"2010/2011","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","10467","","","","0"
"2011/2012","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","10661","","","","0"
"2012/2013","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","12201","","","","0"
"2013/2014","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","12802","","","","0"
"2014/2015","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","12908","","","","0"
"2015/2016","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","13407","","","","0"
"2016/2017","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","14437","","","","0"
"2017/2018","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","15447","","","","0"
"2018/2019","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","15267","","","","0"
"2019/2020","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","16068","","","","0"
"2020/2021","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","17135","","","","0"
"2021/2022","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","18160","","","","0"
"2022/2023","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","18794","","","","0"
"2023/2024","Canada","2016A000011124","Education","Current dollars","75","units","0","v62427760","1.1","19533","","","","0"
"2006/2007","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","10149","","","","0"
"2007/2008","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","10562","","","","0"
"2008/2009","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","11024","","","","0"
"2009/2010","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","11552","","","","0"
"2010/2011","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","12449","","","","0"
"2011/2012","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","11980","","","","0"
"2012/2013","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","11761","","","","0"
"2013/2014","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","11840","","","","0"
"2014/2015","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","12305","","","","0"
"2015/2016","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","13056","","","","0"
"2016/2017","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","13105","","","","0"
"2017/2018","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","14212","","","","0"
"2018/2019","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","14122","","","","0"
"2019/2020","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","14724","","","","0"
"2020/2021","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","15619","","","","0"
"2021/2022","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","16391","","","","0"
"2022/2023","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","17240","","","","0"
"2023/2024","Canada","2016A000011124","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427771","1.2","17837","","","","0"
"2006/2007","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","9821","","","","0"
"2007/2008","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","10145","","","","0"
"2008/2009","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","10646","","","","0"
"2009/2010","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","11192","","","","0"
"2010/2011","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","11952","","","","0"
"2011/2012","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","12309","","","","0"
"2012/2013","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","12189","","","","0"
"2013/2014","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","12424","","","","0"
"2014/2015","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","12663","","","","0"
"2015/2016","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","13154","","","","0"
"2016/2017","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","13504","","","","0"
"2017/2018","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","14078","","","","0"
"2018/2019","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","13250","","","","0"
"2019/2020","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","13702","","","","0"
"2020/2021","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","14217","","","","0"
"2021/2022","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","14909","","","","0"
"2022/2023","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","15445","","","","0"
"2023/2024","Canada","2016A000011124","Humanities","Current dollars","75","units","0","v62427772","1.3","16047","","","","0"
"2006/2007","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","8991","","","","0"
"2007/2008","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","9470","","","","0"
"2008/2009","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","9929","","","","0"
"2009/2010","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","10391","","","","0"
"2010/2011","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","11716","","","","0"
"2011/2012","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","11853","","","","0"
"2012/2013","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","12024","","","","0"
"2013/2014","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","12244","","","","0"
"2014/2015","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","12650","","","","0"
"2015/2016","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","13053","","","","0"
"2016/2017","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","13568","","","","0"
"2017/2018","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","14276","","","","0"
"2018/2019","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","14550","","","","0"
"2019/2020","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","14985","","","","0"
"2020/2021","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","16040","","","","0"
"2021/2022","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","16745","","","","0"
"2022/2023","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","17369","","","","0"
"2023/2024","Canada","2016A000011124","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427773","1.4","18026","","","","0"
"2006/2007","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","11546","","","","0"
"2007/2008","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","12958","","","","0"
"2008/2009","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","13288","","","","0"
"2009/2010","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","13212","","","","0"
"2010/2011","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","13872","","","","0"
"2011/2012","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","14789","","","","0"
"2012/2013","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","14620","","","","0"
"2013/2014","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","15396","","","","0"
"2014/2015","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","15071","","","","0"
"2015/2016","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","16230","","","","0"
"2016/2017","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","16309","","","","0"
"2017/2018","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","15779","","","","0"
"2018/2019","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","16586","","","","0"
"2019/2020","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","17529","","","","0"
"2020/2021","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","18208","","","","0"
"2021/2022","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","18760","","","","0"
"2022/2023","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","19259","","","","0"
"2023/2024","Canada","2016A000011124","Law","Current dollars","75","units","0","v62427774","1.5","20046","","","","0"
"2006/2007","Canada","2016A000011124","Business, management and public administration","Current dollars","75","units","0","v62427775","1.6","21183","","","","0"
