Date;Location;Field_Of_Study;Value
2006/2007;Canada;Total, field of study;5387
2007/2008;Canada;Total, field of study;5592
2008/2009;Canada;Total, field of study;5737
2009/2010;Canada;Total, field of study;4860
2010/2011;Canada;Total, field of study;5401
2011/2012;Canada;Total, field of study;5450
2012/2013;Canada;Total, field of study;5916
2013/2014;Canada;Total, field of study;6038
2014/2015;Canada;Total, field of study;6295
2015/2016;Canada;Total, field of study;6537
2016/2017;Canada;Total, field of study;6784
2017/2018;Canada;Total, field of study;6920
2018/2019;Canada;Total, field of study;7388
2019/2020;Canada;Total, field of study;7186
2020/2021;Canada;Total, field of study;7361
2021/2022;Canada;Total, field of study;7315
2022/2023;Canada;Total, field of study;7409
2023/2024;Canada;Total, field of study;7573
2006/2007;Canada;Education;4627
2007/2008;Canada;Education;4353
2008/2009;Canada;Education;4697
2009/2010;Canada;Education;4410
2010/2011;Canada;Education;4981
2011/2012;Canada;Education;5089
2012/2013;Canada;Education;5462
2013/2014;Canada;Education;5536
2014/2015;Canada;Education;5674
2015/2016;Canada;Education;5697
2016/2017;Canada;Education;5866
2017/2018;Canada;Education;6050
2018/2019;Canada;Education;6546
2019/2020;Canada;Education;6423
2020/2021;Canada;Education;6523
2021/2022;Canada;Education;6640
2022/2023;Canada;Education;6844
2023/2024;Canada;Education;6957
2006/2007;Canada;Visual and performing arts, and communications technologies;3679
2007/2008;Canada;Visual and performing arts, and communications technologies;3759
2008/2009;Canada;Visual and performing arts, and communications technologies;4255
2009/2010;Canada;Visual and performing arts, and communications technologies;4562
2010/2011;Canada;Visual and performing arts, and communications technologies;4834
2011/2012;Canada;Visual and performing arts, and communications technologies;4409
2012/2013;Canada;Visual and performing arts, and communications technologies;4890
2013/2014;Canada;Visual and performing arts, and communications technologies;4700
2014/2015;Canada;Visual and performing arts, and communications technologies;4818
2015/2016;Canada;Visual and performing arts, and communications technologies;5202
2016/2017;Canada;Visual and performing arts, and communications technologies;5069
2017/2018;Canada;Visual and performing arts, and communications technologies;5388
2018/2019;Canada;Visual and performing arts, and communications technologies;5440
2019/2020;Canada;Visual and performing arts, and communications technologies;5263
2020/2021;Canada;Visual and performing arts, and communications technologies;5506
2021/2022;Canada;Visual and performing arts, and communications technologies;5588
2022/2023;Canada;Visual and performing arts, and communications technologies;5683
2023/2024;Canada;Visual and performing arts, and communications technologies;5783
2006/2007;Canada;Humanities;3531
2007/2008;Canada;Humanities;3460
2008/2009;Canada;Humanities;3767
2009/2010;Canada;Humanities;3979
2010/2011;Canada;Humanities;4239
2011/2012;Canada;Humanities;4336
2012/2013;Canada;Humanities;4522
2013/2014;Canada;Humanities;4525
2014/2015;Canada;Humanities;4624
2015/2016;Canada;Humanities;4619
2016/2017;Canada;Humanities;4674
2017/2018;Canada;Humanities;4724
2018/2019;Canada;Humanities;4827
2019/2020;Canada;Humanities;4881
2020/2021;Canada;Humanities;4678
2021/2022;Canada;Humanities;4817
2022/2023;Canada;Humanities;4899
2023/2024;Canada;Humanities;4994
2006/2007;Canada;Social and behavioural sciences, and legal studies ;3579
2007/2008;Canada;Social and behavioural sciences, and legal studies ;3709
2008/2009;Canada;Social and behavioural sciences, and legal studies ;3990
2009/2010;Canada;Social and behavioural sciences, and legal studies ;4109
2010/2011;Canada;Social and behavioural sciences, and legal studies ;4605
2011/2012;Canada;Social and behavioural sciences, and legal studies ;4556
2012/2013;Canada;Social and behavioural sciences, and legal studies ;5020
2013/2014;Canada;Social and behavioural sciences, and legal studies ;5103
2014/2015;Canada;Social and behavioural sciences, and legal studies ;5325
2015/2016;Canada;Social and behavioural sciences, and legal studies ;5460
2016/2017;Canada;Social and behavioural sciences, and legal studies ;5829
2017/2018;Canada;Social and behavioural sciences, and legal studies ;5977
2018/2019;Canada;Social and behavioural sciences, and legal studies ;6135
2019/2020;Canada;Social and behavioural sciences, and legal studies ;5801
2020/2021;Canada;Social and behavioural sciences, and legal studies ;6008
2021/2022;Canada;Social and behavioural sciences, and legal studies ;6006
2022/2023;Canada;Social and behavioural sciences, and legal studies ;6135
2023/2024;Canada;Social and behavioural sciences, and legal studies ;6277
2006/2007;Canada;Law;3272
2007/2008;Canada;Law;3813
2008/2009;Canada;Law;3773
2009/2010;Canada;Law;4477
2010/2011;Canada;Law;4487
2011/2012;Canada;Law;5302
2012/2013;Canada;Law;5373
2013/2014;Canada;Law;5834
2014/2015;Canada;Law;5758
2015/2016;Canada;Law;6148
2016/2017;Canada;Law;5757
2017/2018;Canada;Law;5681
2018/2019;Canada;Law;6179
2019/2020;Canada;Law;6036
2020/2021;Canada;Law;6087
2021/2022;Canada;Law;6499
2022/2023;Canada;Law;6129
2023/2024;Canada;Law;6227
2006/2007;Canada;Business, management and public administration;14879
2007/2008;Canada;Business, management and public administration;5225
2008/2009;Canada;Business, management and public administration;5760
2009/2010;Canada;Business, management and public administration;6175
2010/2011;Canada;Business, management and public administration;8132
2011/2012;Canada;Business, management and public administration;7932
2012/2013;Canada;Business, management and public administration;8547
2013/2014;Canada;Business, management and public administration;8987
