Date;Location;Field_Of_Study;Value
2006/2007;Newfoundland and Labrador;Total, field of study;2096
2007/2008;Newfoundland and Labrador;Total, field of study;3686
2008/2009;Newfoundland and Labrador;Total, field of study;2443
2009/2010;Newfoundland and Labrador;Total, field of study;2458
2010/2011;Newfoundland and Labrador;Total, field of study;2456
2011/2012;Newfoundland and Labrador;Total, field of study;2456
2012/2013;Newfoundland and Labrador;Total, field of study;2473
2013/2014;Newfoundland and Labrador;Total, field of study;2506
2014/2015;Newfoundland and Labrador;Total, field of study;2474
2015/2016;Newfoundland and Labrador;Total, field of study;2475
2016/2017;Newfoundland and Labrador;Total, field of study;2752
2017/2018;Newfoundland and Labrador;Total, field of study;2776
2018/2019;Newfoundland and Labrador;Total, field of study;2950
2019/2020;Newfoundland and Labrador;Total, field of study;2894
2020/2021;Newfoundland and Labrador;Total, field of study;2825
2021/2022;Newfoundland and Labrador;Total, field of study;3386
2022/2023;Newfoundland and Labrador;Total, field of study;3228
2023/2024;Newfoundland and Labrador;Total, field of study;3228
2006/2007;Newfoundland and Labrador;Education;2096
2007/2008;Newfoundland and Labrador;Education;2096
2008/2009;Newfoundland and Labrador;Education;2096
2009/2010;Newfoundland and Labrador;Education;2096
2010/2011;Newfoundland and Labrador;Education;2096
2011/2012;Newfoundland and Labrador;Education;2096
2012/2013;Newfoundland and Labrador;Education;2096
2013/2014;Newfoundland and Labrador;Education;2096
2014/2015;Newfoundland and Labrador;Education;2096
2015/2016;Newfoundland and Labrador;Education;2096
2016/2017;Newfoundland and Labrador;Education;2378
2017/2018;Newfoundland and Labrador;Education;2382
2018/2019;Newfoundland and Labrador;Education;2328
2019/2020;Newfoundland and Labrador;Education;2391
2020/2021;Newfoundland and Labrador;Education;2404
2021/2022;Newfoundland and Labrador;Education;3161
2022/2023;Newfoundland and Labrador;Education;3692
2023/2024;Newfoundland and Labrador;Education;3692
2018/2019;Newfoundland and Labrador;Visual and performing arts, and communications technologies;3153
2019/2020;Newfoundland and Labrador;Visual and performing arts, and communications technologies;3010
2020/2021;Newfoundland and Labrador;Visual and performing arts, and communications technologies;3291
2021/2022;Newfoundland and Labrador;Visual and performing arts, and communications technologies;3513
2022/2023;Newfoundland and Labrador;Visual and performing arts, and communications technologies;3264
2023/2024;Newfoundland and Labrador;Visual and performing arts, and communications technologies;3264
2006/2007;Newfoundland and Labrador;Humanities;2096
2007/2008;Newfoundland and Labrador;Humanities;2096
2008/2009;Newfoundland and Labrador;Humanities;2096
2009/2010;Newfoundland and Labrador;Humanities;2096
2010/2011;Newfoundland and Labrador;Humanities;2096
2011/2012;Newfoundland and Labrador;Humanities;2096
2012/2013;Newfoundland and Labrador;Humanities;2096
2013/2014;Newfoundland and Labrador;Humanities;2096
2014/2015;Newfoundland and Labrador;Humanities;2096
2015/2016;Newfoundland and Labrador;Humanities;2096
2016/2017;Newfoundland and Labrador;Humanities;2378
2017/2018;Newfoundland and Labrador;Humanities;2382
2018/2019;Newfoundland and Labrador;Humanities;2687
2019/2020;Newfoundland and Labrador;Humanities;2702
2020/2021;Newfoundland and Labrador;Humanities;2580
2021/2022;Newfoundland and Labrador;Humanities;3192
2022/2023;Newfoundland and Labrador;Humanities;2586
2023/2024;Newfoundland and Labrador;Humanities;2586
2006/2007;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2096
2007/2008;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2096
2008/2009;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2096
2009/2010;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2096
2010/2011;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2096
2011/2012;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2096
2012/2013;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2096
2013/2014;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2096
2014/2015;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2096
2015/2016;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2096
2016/2017;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2378
2017/2018;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2382
2018/2019;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2716
2019/2020;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2733
2020/2021;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;2732
2021/2022;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;3255
2022/2023;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;3808
2023/2024;Newfoundland and Labrador;Social and behavioural sciences, and legal studies ;3808
2006/2007;Newfoundland and Labrador;Business, management and public administration;2096
2007/2008;Newfoundland and Labrador;Business, management and public administration;2096
2008/2009;Newfoundland and Labrador;Business, management and public administration;2096
2009/2010;Newfoundland and Labrador;Business, management and public administration;2096
2010/2011;Newfoundland and Labrador;Business, management and public administration;2096
2011/2012;Newfoundland and Labrador;Business, management and public administration;2096
2012/2013;Newfoundland and Labrador;Business, management and public administration;2096
2013/2014;Newfoundland and Labrador;Business, management and public administration;2096
2014/2015;Newfoundland and Labrador;Business, management and public administration;2096
2015/2016;Newfoundland and Labrador;Business, management and public administration;2096
2016/2017;Newfoundland and Labrador;Business, management and public administration;2378
2017/2018;Newfoundland and Labrador;Business, management and public administration;2382
2018/2019;Newfoundland and Labrador;Business, management and public administration;2829
2019/2020;Newfoundland and Labrador;Business, management and public administration;2843
2020/2021;Newfoundland and Labrador;Business, management and public administration;2796
2021/2022;Newfoundland and Labrador;Business, management and public administration;3308
2022/2023;Newfoundland and Labrador;Business, management and public administration;3012
2023/2024;Newfoundland and Labrador;Business, management and public administration;3012
2007/2008;Newfoundland and Labrador;Executive MBA;21000
2007/2008;Newfoundland and Labrador;Regular MBA;1829
2008/2009;Newfoundland and Labrador;Regular MBA;1829
2009/2010;Newfoundland and Labrador;Regular MBA;1829
2010/2011;Newfoundland and Labrador;Regular MBA;1829
2011/2012;Newfoundland and Labrador;Regular MBA;1829
