Date;Location;Field_Of_Study;Value
2006/2007;Canada;Total, field of study;11093
2007/2008;Canada;Total, field of study;12560
2008/2009;Canada;Total, field of study;12337
2009/2010;Canada;Total, field of study;11678
2010/2011;Canada;Total, field of study;12666
2011/2012;Canada;Total, field of study;12835
2012/2013;Canada;Total, field of study;13159
2013/2014;Canada;Total, field of study;13490
2014/2015;Canada;Total, field of study;13909
2015/2016;Canada;Total, field of study;14520
2016/2017;Canada;Total, field of study;15422
2017/2018;Canada;Total, field of study;16326
2018/2019;Canada;Total, field of study;16995
2019/2020;Canada;Total, field of study;17934
2020/2021;Canada;Total, field of study;19429
2021/2022;Canada;Total, field of study;20246
2022/2023;Canada;Total, field of study;21155
2023/2024;Canada;Total, field of study;22061
2006/2007;Canada;Education;9051
2007/2008;Canada;Education;8674
2008/2009;Canada;Education;9107
2009/2010;Canada;Education;9241
2010/2011;Canada;Education;10467
2011/2012;Canada;Education;10661
2012/2013;Canada;Education;12201
2013/2014;Canada;Education;12802
2014/2015;Canada;Education;12908
2015/2016;Canada;Education;13407
2016/2017;Canada;Education;14437
2017/2018;Canada;Education;15447
2018/2019;Canada;Education;15267
2019/2020;Canada;Education;16068
2020/2021;Canada;Education;17135
2021/2022;Canada;Education;18160
2022/2023;Canada;Education;18794
2023/2024;Canada;Education;19533
2006/2007;Canada;Visual and performing arts, and communications technologies;10149
2007/2008;Canada;Visual and performing arts, and communications technologies;10562
2008/2009;Canada;Visual and performing arts, and communications technologies;11024
2009/2010;Canada;Visual and performing arts, and communications technologies;11552
2010/2011;Canada;Visual and performing arts, and communications technologies;12449
2011/2012;Canada;Visual and performing arts, and communications technologies;11980
2012/2013;Canada;Visual and performing arts, and communications technologies;11761
2013/2014;Canada;Visual and performing arts, and communications technologies;11840
2014/2015;Canada;Visual and performing arts, and communications technologies;12305
2015/2016;Canada;Visual and performing arts, and communications technologies;13056
2016/2017;Canada;Visual and performing arts, and communications technologies;13105
2017/2018;Canada;Visual and performing arts, and communications technologies;14212
2018/2019;Canada;Visual and performing arts, and communications technologies;14122
2019/2020;Canada;Visual and performing arts, and communications technologies;14724
2020/2021;Canada;Visual and performing arts, and communications technologies;15619
2021/2022;Canada;Visual and performing arts, and communications technologies;16391
2022/2023;Canada;Visual and performing arts, and communications technologies;17240
2023/2024;Canada;Visual and performing arts, and communications technologies;17837
2006/2007;Canada;Humanities;9821
2007/2008;Canada;Humanities;10145
2008/2009;Canada;Humanities;10646
2009/2010;Canada;Humanities;11192
2010/2011;Canada;Humanities;11952
2011/2012;Canada;Humanities;12309
2012/2013;Canada;Humanities;12189
2013/2014;Canada;Humanities;12424
2014/2015;Canada;Humanities;12663
2015/2016;Canada;Humanities;13154
2016/2017;Canada;Humanities;13504
2017/2018;Canada;Humanities;14078
2018/2019;Canada;Humanities;13250
2019/2020;Canada;Humanities;13702
2020/2021;Canada;Humanities;14217
2021/2022;Canada;Humanities;14909
2022/2023;Canada;Humanities;15445
2023/2024;Canada;Humanities;16047
2006/2007;Canada;Social and behavioural sciences, and legal studies;8991
2007/2008;Canada;Social and behavioural sciences, and legal studies;9470
2008/2009;Canada;Social and behavioural sciences, and legal studies;9929
2009/2010;Canada;Social and behavioural sciences, and legal studies;10391
2010/2011;Canada;Social and behavioural sciences, and legal studies;11716
2011/2012;Canada;Social and behavioural sciences, and legal studies;11853
2012/2013;Canada;Social and behavioural sciences, and legal studies;12024
2013/2014;Canada;Social and behavioural sciences, and legal studies;12244
2014/2015;Canada;Social and behavioural sciences, and legal studies;12650
2015/2016;Canada;Social and behavioural sciences, and legal studies;13053
2016/2017;Canada;Social and behavioural sciences, and legal studies;13568
2017/2018;Canada;Social and behavioural sciences, and legal studies;14276
2018/2019;Canada;Social and behavioural sciences, and legal studies;14550
2019/2020;Canada;Social and behavioural sciences, and legal studies;14985
