Date;Location;Field_Of_Study;Value
2006/2007;Newfoundland and Labrador;Total, field of study;2723
2007/2008;Newfoundland and Labrador;Total, field of study;3464
2008/2009;Newfoundland and Labrador;Total, field of study;2785
2009/2010;Newfoundland and Labrador;Total, field of study;2790
2010/2011;Newfoundland and Labrador;Total, field of study;2790
2011/2012;Newfoundland and Labrador;Total, field of study;2789
2012/2013;Newfoundland and Labrador;Total, field of study;2826
2013/2014;Newfoundland and Labrador;Total, field of study;2848
2014/2015;Newfoundland and Labrador;Total, field of study;2822
2015/2016;Newfoundland and Labrador;Total, field of study;2810
2016/2017;Newfoundland and Labrador;Total, field of study;3174
2017/2018;Newfoundland and Labrador;Total, field of study;3179
2018/2019;Newfoundland and Labrador;Total, field of study;4081
2019/2020;Newfoundland and Labrador;Total, field of study;4089
2020/2021;Newfoundland and Labrador;Total, field of study;4082
2021/2022;Newfoundland and Labrador;Total, field of study;4864
2022/2023;Newfoundland and Labrador;Total, field of study;4806
2023/2024;Newfoundland and Labrador;Total, field of study;4806
2006/2007;Newfoundland and Labrador;Education;2723
2007/2008;Newfoundland and Labrador;Education;2723
2008/2009;Newfoundland and Labrador;Education;2723
2009/2010;Newfoundland and Labrador;Education;2723
2010/2011;Newfoundland and Labrador;Education;2723
2011/2012;Newfoundland and Labrador;Education;2723
2012/2013;Newfoundland and Labrador;Education;2723
2013/2014;Newfoundland and Labrador;Education;2723
2014/2015;Newfoundland and Labrador;Education;2723
2015/2016;Newfoundland and Labrador;Education;2723
2016/2017;Newfoundland and Labrador;Education;3092
2017/2018;Newfoundland and Labrador;Education;3092
2018/2019;Newfoundland and Labrador;Education;4028
2019/2020;Newfoundland and Labrador;Education;4028
2020/2021;Newfoundland and Labrador;Education;4028
2021/2022;Newfoundland and Labrador;Education;4833
2022/2023;Newfoundland and Labrador;Education;5511
2023/2024;Newfoundland and Labrador;Education;5511
2018/2019;Newfoundland and Labrador;Visual and performing arts, and communications technologies;4028
2019/2020;Newfoundland and Labrador;Visual and performing arts, and communications technologies;4028
2020/2021;Newfoundland and Labrador;Visual and performing arts, and communications technologies;4028
2021/2022;Newfoundland and Labrador;Visual and performing arts, and communications technologies;4833
2022/2023;Newfoundland and Labrador;Visual and performing arts, and communications technologies;4028
2023/2024;Newfoundland and Labrador;Visual and performing arts, and communications technologies;4028
2006/2007;Newfoundland and Labrador;Humanities;2723
2007/2008;Newfoundland and Labrador;Humanities;2723
2008/2009;Newfoundland and Labrador;Humanities;2723
2009/2010;Newfoundland and Labrador;Humanities;2723
2010/2011;Newfoundland and Labrador;Humanities;2723
2011/2012;Newfoundland and Labrador;Humanities;2723
2012/2013;Newfoundland and Labrador;Humanities;2723
2013/2014;Newfoundland and Labrador;Humanities;2723
2014/2015;Newfoundland and Labrador;Humanities;2723
2015/2016;Newfoundland and Labrador;Humanities;2723
2016/2017;Newfoundland and Labrador;Humanities;3092
2017/2018;Newfoundland and Labrador;Humanities;3092
2018/2019;Newfoundland and Labrador;Humanities;4028
2019/2020;Newfoundland and Labrador;Humanities;4028
2020/2021;Newfoundland and Labrador;Humanities;4028
2021/2022;Newfoundland and Labrador;Humanities;4833
2022/2023;Newfoundland and Labrador;Humanities;4028
2023/2024;Newfoundland and Labrador;Humanities;4028
2006/2007;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2723
2007/2008;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2723
2008/2009;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2723
2009/2010;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2723
2010/2011;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2723
2011/2012;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2723
2012/2013;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2723
2013/2014;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2723
2014/2015;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2723
2015/2016;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;2723
2016/2017;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;3092
2017/2018;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;3092
2018/2019;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;4028
2019/2020;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;4028
2020/2021;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;4028
2021/2022;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;4833
2022/2023;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;5511
2023/2024;Newfoundland and Labrador;Social and behavioural sciences, and legal studies;5511
2006/2007;Newfoundland and Labrador;Business, management and public administration;2723
2007/2008;Newfoundland and Labrador;Business, management and public administration;2723
2008/2009;Newfoundland and Labrador;Business, management and public administration;2723
2009/2010;Newfoundland and Labrador;Business, management and public administration;2723
2010/2011;Newfoundland and Labrador;Business, management and public administration;2723
2011/2012;Newfoundland and Labrador;Business, management and public administration;2723
2012/2013;Newfoundland and Labrador;Business, management and public administration;2723
2013/2014;Newfoundland and Labrador;Business, management and public administration;2723
2014/2015;Newfoundland and Labrador;Business, management and public administration;2723
2015/2016;Newfoundland and Labrador;Business, management and public administration;2723
2016/2017;Newfoundland and Labrador;Business, management and public administration;3092
2017/2018;Newfoundland and Labrador;Business, management and public administration;3092
2018/2019;Newfoundland and Labrador;Business, management and public administration;4028
2019/2020;Newfoundland and Labrador;Business, management and public administration;4028
2020/2021;Newfoundland and Labrador;Business, management and public administration;4028
2021/2022;Newfoundland and Labrador;Business, management and public administration;4833
2022/2023;Newfoundland and Labrador;Business, management and public administration;4028
2023/2024;Newfoundland and Labrador;Business, management and public administration;4028
2007/2008;Newfoundland and Labrador;Executive MBA;21000
2007/2008;Newfoundland and Labrador;Regular MBA;2378
2008/2009;Newfoundland and Labrador;Regular MBA;2378
2009/2010;Newfoundland and Labrador;Regular MBA;2378
2010/2011;Newfoundland and Labrador;Regular MBA;2378
2011/2012;Newfoundland and Labrador;Regular MBA;2378
2012/2013;Newfoundland and Labrador;Regular MBA;2378
2013/2014;Newfoundland and Labrador;Regular MBA;2378
2014/2015;Newfoundland and Labrador;Regular MBA;2378
2015/2016;Newfoundland and Labrador;Regular MBA;2378
2016/2017;Newfoundland and Labrador;Regular MBA;3092
2017/2018;Newfoundland and Labrador;Regular MBA;3092
2018/2019;Newfoundland and Labrador;Regular MBA;4028
2019/2020;Newfoundland and Labrador;Regular MBA;4028
2020/2021;Newfoundland and Labrador;Regular MBA;4028
2021/2022;Newfoundland and Labrador;Regular MBA;4833
2022/2023;Newfoundland and Labrador;Regular MBA;4028
2023/2024;Newfoundland and Labrador;Regular MBA;4028
2006/2007;Newfoundland and Labrador;Physical and life sciences and technologies;2723
2007/2008;Newfoundland and Labrador;Physical and life sciences and technologies;2723
2008/2009;Newfoundland and Labrador;Physical and life sciences and technologies;2723
2009/2010;Newfoundland and Labrador;Physical and life sciences and technologies;2723
2010/2011;Newfoundland and Labrador;Physical and life sciences and technologies;2723
2011/2012;Newfoundland and Labrador;Physical and life sciences and technologies;2723
2012/2013;Newfoundland and Labrador;Physical and life sciences and technologies;2723
2013/2014;Newfoundland and Labrador;Physical and life sciences and technologies;2723
2014/2015;Newfoundland and Labrador;Physical and life sciences and technologies;2723
2015/2016;Newfoundland and Labrador;Physical and life sciences and technologies;2723
2016/2017;Newfoundland and Labrador;Physical and life sciences and technologies;3092
2017/2018;Newfoundland and Labrador;Physical and life sciences and technologies;3092
2018/2019;Newfoundland and Labrador;Physical and life sciences and technologies;4028
2019/2020;Newfoundland and Labrador;Physical and life sciences and technologies;4028
2020/2021;Newfoundland and Labrador;Physical and life sciences and technologies;4028
2021/2022;Newfoundland and Labrador;Physical and life sciences and technologies;4833
2022/2023;Newfoundland and Labrador;Physical and life sciences and technologies;5511
2023/2024;Newfoundland and Labrador;Physical and life sciences and technologies;5511
2006/2007;Newfoundland and Labrador;Mathematics, computer and information sciences;2723
2007/2008;Newfoundland and Labrador;Mathematics, computer and information sciences;2723
2008/2009;Newfoundland and Labrador;Mathematics, computer and information sciences;2723
2009/2010;Newfoundland and Labrador;Mathematics, computer and information sciences;2723
2010/2011;Newfoundland and Labrador;Mathematics, computer and information sciences;2723
2011/2012;Newfoundland and Labrador;Mathematics, computer and information sciences;2723
2012/2013;Newfoundland and Labrador;Mathematics, computer and information sciences;2723
2013/2014;Newfoundland and Labrador;Mathematics, computer and information sciences;2723
2014/2015;Newfoundland and Labrador;Mathematics, computer and information sciences;2723
2015/2016;Newfoundland and Labrador;Mathematics, computer and information sciences;2723
2016/2017;Newfoundland and Labrador;Mathematics, computer and information sciences;3092
2017/2018;Newfoundland and Labrador;Mathematics, computer and information sciences;3092
2018/2019;Newfoundland and Labrador;Mathematics, computer and information sciences;4028
2019/2020;Newfoundland and Labrador;Mathematics, computer and information sciences;4028
2020/2021;Newfoundland and Labrador;Mathematics, computer and information sciences;4028
2021/2022;Newfoundland and Labrador;Mathematics, computer and information sciences;4833
2022/2023;Newfoundland and Labrador;Mathematics, computer and information sciences;5511
2023/2024;Newfoundland and Labrador;Mathematics, computer and information sciences;5511
2006/2007;Newfoundland and Labrador;Engineering;2723
2007/2008;Newfoundland and Labrador;Engineering;2723
2008/2009;Newfoundland and Labrador;Engineering;2723
2009/2010;Newfoundland and Labrador;Engineering;2723
2010/2011;Newfoundland and Labrador;Engineering;2723
2011/2012;Newfoundland and Labrador;Engineering;2723
2012/2013;Newfoundland and Labrador;Engineering;2723
2013/2014;Newfoundland and Labrador;Engineering;2723
2014/2015;Newfoundland and Labrador;Engineering;2723
2015/2016;Newfoundland and Labrador;Engineering;2723
2016/2017;Newfoundland and Labrador;Engineering;3092
2017/2018;Newfoundland and Labrador;Engineering;3092
2018/2019;Newfoundland and Labrador;Engineering;4028
2019/2020;Newfoundland and Labrador;Engineering;4028
2020/2021;Newfoundland and Labrador;Engineering;4028
2021/2022;Newfoundland and Labrador;Engineering;4833
2022/2023;Newfoundland and Labrador;Engineering;4028
2023/2024;Newfoundland and Labrador;Engineering;4028
2017/2018;Newfoundland and Labrador;Agriculture, natural resources and conservation;3092
