Date;Location;Field_Of_Study;Value
2006/2007;Canada;Total, field of study;4400
2007/2008;Canada;Total, field of study;4558
2008/2009;Canada;Total, field of study;4747
2009/2010;Canada;Total, field of study;4942
2010/2011;Canada;Total, field of study;5146
2011/2012;Canada;Total, field of study;5313
2012/2013;Canada;Total, field of study;5586
2013/2014;Canada;Total, field of study;5767
2014/2015;Canada;Total, field of study;5998
2015/2016;Canada;Total, field of study;6201
2016/2017;Canada;Total, field of study;6375
2017/2018;Canada;Total, field of study;6618
2018/2019;Canada;Total, field of study;6822
2019/2020;Canada;Total, field of study;6468
2020/2021;Canada;Total, field of study;6580
2021/2022;Canada;Total, field of study;6660
2022/2023;Canada;Total, field of study;6872
2023/2024;Canada;Total, field of study;7076
2006/2007;Canada;Education;3373
2007/2008;Canada;Education;3545
2008/2009;Canada;Education;3652
2009/2010;Canada;Education;3739
2010/2011;Canada;Education;3850
2011/2012;Canada;Education;3804
2012/2013;Canada;Education;4273
2013/2014;Canada;Education;4394
2014/2015;Canada;Education;4482
2015/2016;Canada;Education;4514
2016/2017;Canada;Education;4571
2017/2018;Canada;Education;4423
2018/2019;Canada;Education;4732
2019/2020;Canada;Education;4648
2020/2021;Canada;Education;4801
2021/2022;Canada;Education;5013
2022/2023;Canada;Education;5191
2023/2024;Canada;Education;5358
2006/2007;Canada;Visual and performing arts, and communications technologies;3991
2007/2008;Canada;Visual and performing arts, and communications technologies;4239
2008/2009;Canada;Visual and performing arts, and communications technologies;4377
2009/2010;Canada;Visual and performing arts, and communications technologies;4592
2010/2011;Canada;Visual and performing arts, and communications technologies;4748
2011/2012;Canada;Visual and performing arts, and communications technologies;4591
2012/2013;Canada;Visual and performing arts, and communications technologies;5002
2013/2014;Canada;Visual and performing arts, and communications technologies;5138
2014/2015;Canada;Visual and performing arts, and communications technologies;5211
2015/2016;Canada;Visual and performing arts, and communications technologies;5464
2016/2017;Canada;Visual and performing arts, and communications technologies;5680
2017/2018;Canada;Visual and performing arts, and communications technologies;5857
2018/2019;Canada;Visual and performing arts, and communications technologies;6131
2019/2020;Canada;Visual and performing arts, and communications technologies;5789
2020/2021;Canada;Visual and performing arts, and communications technologies;5843
2021/2022;Canada;Visual and performing arts, and communications technologies;6009
2022/2023;Canada;Visual and performing arts, and communications technologies;6152
2023/2024;Canada;Visual and performing arts, and communications technologies;6312
2006/2007;Canada;Humanities;4336
2007/2008;Canada;Humanities;4342
2008/2009;Canada;Humanities;4364
2009/2010;Canada;Humanities;4525
