Date;Location;Field_Of_Study;Value
2006/2007;Canada;Total, field of study;13378
2007/2008;Canada;Total, field of study;13947
2008/2009;Canada;Total, field of study;14630
2009/2010;Canada;Total, field of study;15943
2010/2011;Canada;Total, field of study;16843
2011/2012;Canada;Total, field of study;17668
2012/2013;Canada;Total, field of study;18267
2013/2014;Canada;Total, field of study;19416
2014/2015;Canada;Total, field of study;20593
2015/2016;Canada;Total, field of study;22346
2016/2017;Canada;Total, field of study;23677
2017/2018;Canada;Total, field of study;25549
2018/2019;Canada;Total, field of study;27613
2019/2020;Canada;Total, field of study;29883
2020/2021;Canada;Total, field of study;32039
2021/2022;Canada;Total, field of study;33446
2022/2023;Canada;Total, field of study;35836
2023/2024;Canada;Total, field of study;38081
2006/2007;Canada;Education;11818
2007/2008;Canada;Education;12245
2008/2009;Canada;Education;12717
2009/2010;Canada;Education;12779
2010/2011;Canada;Education;13219
2011/2012;Canada;Education;13550
2012/2013;Canada;Education;14133
2013/2014;Canada;Education;14998
2014/2015;Canada;Education;15703
2015/2016;Canada;Education;16712
2016/2017;Canada;Education;17821
2017/2018;Canada;Education;18486
2018/2019;Canada;Education;18761
2019/2020;Canada;Education;21057
2020/2021;Canada;Education;22842
2021/2022;Canada;Education;22564
2022/2023;Canada;Education;24766
2023/2024;Canada;Education;26166
2006/2007;Canada;Visual and performing arts, and communications technologies;12784
2007/2008;Canada;Visual and performing arts, and communications technologies;13701
2008/2009;Canada;Visual and performing arts, and communications technologies;14030
2009/2010;Canada;Visual and performing arts, and communications technologies;14847
2010/2011;Canada;Visual and performing arts, and communications technologies;15587
2011/2012;Canada;Visual and performing arts, and communications technologies;15098
2012/2013;Canada;Visual and performing arts, and communications technologies;16677
2013/2014;Canada;Visual and performing arts, and communications technologies;18237
2014/2015;Canada;Visual and performing arts, and communications technologies;18388
2015/2016;Canada;Visual and performing arts, and communications technologies;19766
2016/2017;Canada;Visual and performing arts, and communications technologies;20863
2017/2018;Canada;Visual and performing arts, and communications technologies;21863
2018/2019;Canada;Visual and performing arts, and communications technologies;23520
2019/2020;Canada;Visual and performing arts, and communications technologies;25467
2020/2021;Canada;Visual and performing arts, and communications technologies;27431
2021/2022;Canada;Visual and performing arts, and communications technologies;28874
2022/2023;Canada;Visual and performing arts, and communications technologies;30155
2023/2024;Canada;Visual and performing arts, and communications technologies;31475
2006/2007;Canada;Humanities;13313
2007/2008;Canada;Humanities;13494
2008/2009;Canada;Humanities;14212
2009/2010;Canada;Humanities;15071
2010/2011;Canada;Humanities;15900
2011/2012;Canada;Humanities;16537
2012/2013;Canada;Humanities;17282
2013/2014;Canada;Humanities;18332
2014/2015;Canada;Humanities;19300
2015/2016;Canada;Humanities;21021
2016/2017;Canada;Humanities;22746
2017/2018;Canada;Humanities;24619
2018/2019;Canada;Humanities;26617
2019/2020;Canada;Humanities;27517
2020/2021;Canada;Humanities;29845
2021/2022;Canada;Humanities;32293
2022/2023;Canada;Humanities;35382
2023/2024;Canada;Humanities;37730
2006/2007;Canada;Social and behavioural sciences, and legal studies;12614
2007/2008;Canada;Social and behavioural sciences, and legal studies;13396
