Date;Location;Field_Of_Study;Value
2006/2007;Newfoundland and Labrador;Total, field of study;10147
2007/2008;Newfoundland and Labrador;Total, field of study;9599
2008/2009;Newfoundland and Labrador;Total, field of study;9322
2009/2010;Newfoundland and Labrador;Total, field of study;10314
2010/2011;Newfoundland and Labrador;Total, field of study;9758
2011/2012;Newfoundland and Labrador;Total, field of study;9758
2012/2013;Newfoundland and Labrador;Total, field of study;9025
2013/2014;Newfoundland and Labrador;Total, field of study;9008
2014/2015;Newfoundland and Labrador;Total, field of study;8942
2015/2016;Newfoundland and Labrador;Total, field of study;9360
2016/2017;Newfoundland and Labrador;Total, field of study;9321
2017/2018;Newfoundland and Labrador;Total, field of study;9241
2018/2019;Newfoundland and Labrador;Total, field of study;12042
2019/2020;Newfoundland and Labrador;Total, field of study;11983
2020/2021;Newfoundland and Labrador;Total, field of study;12037
2021/2022;Newfoundland and Labrador;Total, field of study;11939
2022/2023;Newfoundland and Labrador;Total, field of study;16815
2023/2024;Newfoundland and Labrador;Total, field of study;17477
2006/2007;Newfoundland and Labrador;Education;8780
2007/2008;Newfoundland and Labrador;Education;8800
2012/2013;Newfoundland and Labrador;Education;8800
2013/2014;Newfoundland and Labrador;Education;8800
2014/2015;Newfoundland and Labrador;Education;8800
2015/2016;Newfoundland and Labrador;Education;9680
2016/2017;Newfoundland and Labrador;Education;9680
2017/2018;Newfoundland and Labrador;Education;9680
2019/2020;Newfoundland and Labrador;Education;12606
2020/2021;Newfoundland and Labrador;Education;12606
2021/2022;Newfoundland and Labrador;Education;12606
2022/2023;Newfoundland and Labrador;Education;17960
2023/2024;Newfoundland and Labrador;Education;18669
2006/2007;Newfoundland and Labrador;Visual and performing arts, and communications technologies;8780
2007/2008;Newfoundland and Labrador;Visual and performing arts, and communications technologies;8800
2008/2009;Newfoundland and Labrador;Visual and performing arts, and communications technologies;8800
2009/2010;Newfoundland and Labrador;Visual and performing arts, and communications technologies;8800
2010/2011;Newfoundland and Labrador;Visual and performing arts, and communications technologies;8800
2011/2012;Newfoundland and Labrador;Visual and performing arts, and communications technologies;8800
2012/2013;Newfoundland and Labrador;Visual and performing arts, and communications technologies;8800
2013/2014;Newfoundland and Labrador;Visual and performing arts, and communications technologies;8800
2014/2015;Newfoundland and Labrador;Visual and performing arts, and communications technologies;8800
2015/2016;Newfoundland and Labrador;Visual and performing arts, and communications technologies;8800
